sample,Posidonia,Chondrilla,Tissue,Condition,Month,ug_N,wt_N(0/0),ugC,wt_C(0/0),d15N-AIR(0/00),d13C-VPDB(0/00)
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,32,1.17,708,26.1,3.1,-14.2
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,32,1.24,751,28.8,4.3,-15.8
NA_SG-_Old_May,1,0,Posidonia,Posidonia,May,31,1.38,602,26.6,4.5,-14.6
NA_SG+_Feb,1,1,Posidonia,Association,Feb,50,2.25,670,29.9,4.8,-13.7
NA_SG+_Feb,1,1,Posidonia,Association,Feb,60,2.35,903,35.7,5.3,-12.4
NA_SG+_Feb,1,1,Posidonia,Association,Feb,44,1.88,601,25.7,4.7,-12
NA_SG+_Feb,1,1,Posidonia,Association,Feb,50,2.23,750,33.6,5.2,-12.5
NA_SG+_Feb,1,1,Posidonia,Association,Feb,59,2.42,827,33.9,5.1,-13
NA_SG+_Feb,1,1,Posidonia,Association,Feb,45,1.87,702,29.3,5.6,-13.1
NA_SG+_Feb,1,1,Posidonia,Association,Feb,50,1.94,972,37.7,5.3,-13
NA_SG+_Feb,1,1,Posidonia,Association,Feb,45,1.76,636,24.8,4.5,-12.5
NA_SG+_Feb,1,1,Posidonia,Association,Feb,45,1.95,573,24.8,5.4,-12.9
NA_SG+_Feb,1,1,Posidonia,Association,Feb,38,1.64,696,30.1,4.5,-13.1
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,60,2.37,749,29.4,5.1,-13.6
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,53,2.23,790,33.1,4.4,-13.9
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,60,2.27,809,30.4,4.6,-13.5
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,66,2.5,840,31.8,5.8,-12.6
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,63,2.47,820,31.9,4.9,-14
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,64,2.55,686,27.2,5.2,-13
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,53,2.14,744,30.3,3.7,-13.8
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,55,2.12,765,29.3,4.3,-14.2
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,57,2.3,876,35.1,4.6,-12.8
NA_SG-_Feb,1,0,Posidonia,Posidonia,Feb,81,3.29,820,33.3,4.9,-14.6
NA_SP+_May,1,1,Chondrilla,Association,May,107,8.43,398,31.4,6.4,-19
NA_SP+_May,1,1,Chondrilla,Association,May,93,7.12,332,25.3,7.7,-18.4
NA_SP+_May,1,1,Chondrilla,Association,May,116,8.77,422,31.8,7.9,-18.3
NA_SP+_May,1,1,Chondrilla,Association,May,67,7.2,266,28.7,6.7,-19.3
NA_SP+_May,1,1,Chondrilla,Association,May,28,2.71,396,38,5.3,-14.8
NA_SP+_May,1,1,Chondrilla,Association,May,95,7.67,358,28.8,7.1,-18.6
NA_SP+_May,1,1,Chondrilla,Association,May,75,7.42,264,26.2,7.2,-18.5
NA_SP+_May,1,1,Chondrilla,Association,May,63,6,232,22,6.8,-18.7
NA_SP+_May,1,1,Chondrilla,Association,May,73,5.78,283,22.4,6.4,-19.4
NA_SP+_May,1,1,Chondrilla,Association,May,98,8.61,359,31.8,6.6,-19
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,61,6.07,339,33.5,7.1,-16.5
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,82,8.6,305,32.2,6.6,-19.4
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,99,9.57,350,34,6.1,-19.3
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,83,8.34,281,28.3,6.5,-18.9
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,102,9.72,352,33.5,7.5,-18.3
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,75,7.04,271,25.5,6,-19.6
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,73,7.27,272,27.2,6.1,-19.8
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,78,7.47,299,28.5,6.2,-19.6
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,99,8.23,359,29.8,5.9,-19.9
NA_SP-_May,0,1,Chondrilla,Chondrilla,May,94,8.65,334,30.6,5.8,-19.5
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,117,8.09,413,28.5,7,-18.6
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,78,7.86,295,29.6,5.9,-19.5
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,97,8.73,334,30.1,6.7,-19
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,105,8.41,391,31.4,6.2,-19.7
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,83,7.86,315,29.9,5.8,-19.9
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,98,8.13,345,28.7,6.4,-18.9
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,132,9.71,461,33.8,6.2,-19.2
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,91,8.23,330,30,7.2,-19.2
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,100,8.89,360,32.1,6.5,-19.5
NA_SP+_Feb,1,1,Chondrilla,Association,Feb,71,7.28,240,24.6,6.2,-18.8
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,91,8.07,309,27.3,8,-18.3
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,84,8.26,288,28.3,7,-18.9
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,79,7.85,284,28.1,7,-18.8
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,125,8.28,433,28.8,6.6,-19.3
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,106,7.82,374,27.6,5.5,-19.9
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,92,7.72,331,27.8,6.9,-19.3
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,76,7.6,276,27.7,6.7,-19.2
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,69,5.95,252,21.7,6.5,-19.6
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,95,8.21,342,29.4,8,-18.3
NA_SP-_Feb,0,1,Chondrilla,Chondrilla,Feb,88,7.78,302,26.6,6.5,-19
NA_MA_May,0,0,Caulerpa,Caulerpa,May,27.7720773976237,1.89829647283826,503.052302768675,34.3849831010715,7.53786807611584,-18.2267643953693
NA_MA_May,0,0,Caulerpa,Caulerpa,May,31.6253370061189,1.94497767565307,609.168687894278,37.4642489479876,6.14981609297138,-17.7537527188196
NA_MA_May,0,0,Caulerpa,Caulerpa,May,18.8260873879329,1.29034183604749,359.617933035989,2.46381154450527,8.74604291241644,-19.3057910317269
NA_MA_May,0,0,Caulerpa,Caulerpa,May,16.239268018217,1.16327134800981,413.928549428039,29.6510422226389,9.54649621587123,-16.2847164548629
NA_MA_May,0,0,Caulerpa,Caulerpa,May,14.7199892224499,0.889425330661623,301.061812138015,18.1910460506353,9.39260132357151,-16.8087293904064
NA_MA_May,0,0,Caulerpa,Caulerpa,May,32.2872121619671,2.08843545678959,499.210121190813,32.2904347471419,5.42531091818398,-17.854755212121
NA_MA_May,0,0,Caulerpa,Caulerpa,May,11.0925987248639,0.62918881025887,203.6062562045,11.5488517416052,10.1011174186395,-17.0447352163382
NA_MA_May,0,0,Caulerpa,Caulerpa,May,24.6863232754518,1.46159403643883,442.033789257264,26.1713315131595,7.16812060760367,-17.4487451895434
NA_MA_May,0,0,Caulerpa,Caulerpa,May,21.0645514124655,1.45473421356806,397.37108185493,27.4427542717493,7.57484282296707,-20.0538094969683
NA_MA_May,0,0,Caulerpa,Caulerpa,May,39.5453643378989,2.39089264437116,603.224981585983,36.4706760330098,6.11783793353254,-17.894756199567
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,46.4326866302485,4.37219271471267,376.483199685778,35.4503954506382,5.63516758950186,-19.1067861191827
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,24.5548472258181,2.23632488395429,209.114798300938,19.0450635975353,6.01290959787377,-18.3497674317659
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,55.2247260519068,4.24153041873324,292.676940738812,22.479027706514,6.79337655167922,-17.1587380305594
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,49.654411709734,3.91287720328873,321.419006243927,25.3285268907744,6.49657925938698,-17.9117566192316
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,22.0354514712989,1.88498301721975,256.70690381236,21.9595298385253,6.3806584314209,-21.5868473408386
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,40.8443926573566,3.93491258741393,327.288416223368,31.5306759367407,6.29071985799908,-19.1937882668778
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,39.0913786622407,2.81638174800005,270.908116384681,19.5178758202219,4.93764398674102,-19.5737976476155
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,18.8586754686113,1.59144940663387,270.791365010768,22.851591984031,3.93332991686339,-22.8078774826297
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,24.8874703941221,2.57367842752038,286.075181232099,29.5837829609202,5.34136824965708,-16.8417302050493
NA_SG-_Epi_May,1,0,Epiphytes,Posidonia,May,15.3481525706997,1.45204849297065,197.110634310434,18.6481205591707,7.1171554159979,-23.0298829629554
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,12.1017054989755,0.954393178152639,162.605296438526,12.8237615487797,8.68608386346853,-19.8098034735473
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,17.4776150839976,1.32205862965186,177.294742029028,13.4111000021958,4.40400845110457,-17.0747359569227
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,19.3800847594663,1.9715243905866,195.529183881977,19.8910665190211,6.9582639362859,-16.2077145540293
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,23.5839471669846,2.17163417743873,192.78021971439,17.7514014469973,7.36598546913183,-18.1047613836589
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,39.960019571359,3.17647214398721,285.045646389412,22.6586364379501,6.01290959787377,-17.854755212121
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,19.990268476997,2.06085242030897,164.621911078841,16.9713310390558,6.88631307754838,-18.8587799970172
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,24.0120871234841,2.28035015417703,177.347810835352,16.8421472778112,6.79637450412656,-18.5337719740178
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,11.0307937442668,1.13485532348424,370.826064931632,38.1508297254766,8.64511184668731,-24.8979290766865
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,24.577321764217,2.43099127242502,183.015559350762,18.1024292137252,7.8476564956801,-18.8147789108264
NA_SG+_Epi_May,1,1,Epiphytes,Association,May,26.7978061580305,2.5941729097803,215.27077983453,20.8393784931781,9.57047983545033,-18.0447599024897
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,51.6085728235202,2.11944857591459,914.632737095603,37.5619193879098,5.26442080350716,-12.3746199320102
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,73.5572070239073,2.74569641746575,931.020384488475,34.7525339488046,4.6428453294136,-15.1676888804317
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,50.7275709182825,2.04381832869793,919.419543426034,37.0434949003237,5.42930818811396,-14.1596639967908
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,52.7424132857459,2.11646923297536,837.576830313059,33.6106272196251,5.67514028880032,-14.5626739453098
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,50.4792272689744,2.09892836877232,861.616999577861,35.8260706685181,5.92297102445184,-12.6076256838835
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,51.1253702479434,2.1152408046315,863.580545411851,35.7294391978424,4.97062146366238,-13.9546589361298
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,55.0269501139963,2.28992717910929,859.207675770748,35.755625292166,4.15317976300571,-13.5156480989091
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,67.5531340906354,2.70320664628393,1232.02665395858,49.3007864729323,5.28140920070905,-12.2036157106783
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,30.1296564756706,1.26648408893109,,,6.01290959787377,
NA_SG-_Yng_May,1,0,Young leaf,Posidonia,May,66.8159692311507,2.37188389176964,1109.06622970572,39.3704731879914,5.97193758109256,-12.8886326206921
NA_SG+_Yng_May,1,1,Young leaf,Association,May,36.7045826842752,1.5652274065789,741.341856924997,31.6137252420041,6.84634037824981,-15.5546984339723
NA_SG+_Yng_May,1,1,Young leaf,Association,May,35.5572574990103,1.36863962659778,867.709298543864,33.3991261949139,6.61050145238789,-15.6477007297844
NA_SG+_Yng_May,1,1,Young leaf,Association,May,32.8861586102984,1.36400491954784,695.914958711597,28.8641625346991,4.99260644827655,-13.7356535298626
NA_SG+_Yng_May,1,1,Young leaf,Association,May,48.7958843428952,1.91732354981906,818.992134338371,32.1804374985607,4.87568630282817,-14.5866745377775
NA_SG+_Yng_May,1,1,Young leaf,Association,May,44.5628050354582,1.66714571775003,909.081739954105,34.0097919922972,5.9859280258471,-13.1316386194269
NA_SG+_Yng_May,1,1,Young leaf,Association,May,39.7420165488895,1.57145182083391,749.716114562935,29.6447653049796,4.54691085109687,-13.9856597014004
NA_SG+_Yng_May,1,1,Young leaf,Association,May,41.0961074874246,1.64912148825941,840.31518071938,33.7205128699591,5.01659006785576,-15.6006995695353
NA_SG+_Yng_May,1,1,Young leaf,Association,May,44.5066186894609,1.83683940113334,747.943616431711,30.8684942811272,5.40032798112236,-13.5416487407491
NA_SG+_Yng_May,1,1,Young leaf,Association,May,31.7410808788733,1.31979546273902,716.887750970868,29.8082224935912,7.80268720896913,-15.2006896950746
NA_SG+_Yng_May,1,1,Young leaf,Association,May,45.5977575287286,1.73375503911516,809.312384064861,30.7723339948616,5.9149764845921,-14.0056601951235
